site,record_id,attr,value,target_property,difficulty,target_norm,pred_zero_norm,pred_ft_norm
www.ebay.com,44064,optical zoom,5x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.pcconnection.com,12439,color,Black,color,A,color,color,color
www.ebay.com,54875,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.alibaba.com,28249,lens mount,φ14,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.priceme.co.nz,2299,max image resolution,4608x3456,image_resolution_lw,A,image resolution lw,auto focus points,image resolution
www.buzzillions.com,899,megapixels,12.0,image_resolution,B,image resolution,auto focus mode,image resolution
www.pricedekho.com,1207,maximum shutter speed,1/4000 sec,shutter_speed_max,A,shutter speed max,auto focus mode,shutter speed max
www.buzzillions.com,1053,megapixels,16,image_resolution,B,image resolution,auto focus mode,image resolution
www.shopmania.in,1399,sensor size,17.3x13.0mm,sensor_size,A,sensor size,auto focus mode,sensor size
www.ebay.com,45326,brand,Nikon,brand,A,brand,brand,brand
www.price-hunt.com,790,sensor format,23.7 x 15.7 mm (Aps-c),sensor_size,A,sensor size,auto focus mode,sensor format
www.walmart.com,677,self timer delay,"10 sec, 2 sec",self_timer,A,self timer,auto focus type,self timer
www.canon-europe.com,157,redeye correction,"Yes, during shooting and playback",red_eye_reduction,C,red eye reduction,auto focus mode,picture styles
www.ebay.com,47372,brand,Fujifilm,brand,A,brand,brand,brand
www.ebay.com,48598,megapixels,5.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,59462,screen size,"2""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,47866,screen size,"2.7""",screen_size,A,screen size,auto focus mode,screen size
www.ebay.com,24457,brand,Ricoh,brand,A,brand,brand,brand
www.price-hunt.com,9714,warranty summary,6 Months,warranty_duration,A,warranty duration,auto focus points,warranty duration
www.mypriceindia.com,50,camera resolution,8.9 MP,image_resolution,A,image resolution,auto focus automatic,image resolution
www.ebay.com,56621,screen size,"1.5""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,53152,megapixels,16.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.shopmania.in,1523,max shutter speed,1/2000,shutter_speed_max,A,shutter speed max,auto focus mode,shutter speed max
www.buzzillions.com,1817,pixel count,8 Megapixel,image_resolution,C,image resolution,auto focus points,image resolution
www.buzzillions.com,2835,builtin memory,44 MB,internal_memory_capacity,A,internal memory capacity,builtin memory,internal memory capacity
www.ebay.com,54310,megapixels,12.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.cambuy.com.au,155,total pixels,24.69 million,image_resolution,B,image resolution,auto focus points,image resolution
www.alibaba.com,35300,lens mount,Φ14,lens_mount_type,A,lens mount type,auto focus mode,lens mount type
www.ebay.com,55192,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,48403,megapixels,16.0 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.ebay.com,47012,optical zoom,3x,zoom_optical,A,zoom optical,auto focus points,zoom optical
www.ebay.com,46578,megapixels,16.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.alibaba.com,26503,focus control,Manual,auto_focus_automatic,A,auto focus automatic,auto focus mode,auto focus automatic
buy.net,6681,width,5.1 in,camera_width,A,camera width,width,image resolution
www.eglobalcentral.co.uk,313,focal length,1.4x that of a master lens,focal_length_min,A,focal length min,auto focus mode,focal length
www.ebay.com,24465,brand,Nikon,brand,A,brand,brand,brand
www.ebay.com,46045,megapixels,10.1 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.mypriceindia.com,108,image ratio wh,"4:3, 16:9",supported_aspect_ratio,A,supported aspect ratio,auto focus mode,supported aspect ratio
www.gosale.com,860,manufacturer,Sony,brand,C,brand,manufacturer,camera width
www.ebay.com,54502,screen size,"1.8""",screen_size,A,screen size,auto focus points,screen size
www.canon-europe.com,165,still image type,"JPEG (Exif 2.2 [Exif Print] compliant) / Design rule for Camera File system, RAW, Digital Print Order Format [DPOF] Version 1.1 compliant",image_format,A,image format,auto focus mode,image format
www.ukdigitalcameras.co.uk,276,camera resolution,16 Megapixels,image_resolution,A,image resolution,auto focus automatic,image resolution
www.ebay.com,47798,brand,Polaroid,brand,A,brand,brand,camera type
www.ilgs.net,125,display,TFT,screen_type,C,screen type,auto focus points,image resolution
buy.net,5362,image sensor,CMOS,sensor_type,A,sensor type,auto focus mode,sensor type
buy.net,4293,longest shutter speed,15 Second,shutter_speed_min,A,shutter speed min,auto focus mode,shutter speed min
www.price-hunt.com,9551,optical zoom,5x,zoom_optical,A,zoom optical,auto focus mode,zoom optical
www.gosale.com,919,manufacturer,Canon,brand,C,brand,manufacturer,camera type
www.buzzillions.com,2480,pixel count,10 Megapixel,image_resolution,C,image resolution,auto focus points,image resolution
www.ebay.com,48654,screen size,"3""",screen_size,A,screen size,auto focus points,screen size
www.ebay.com,44396,megapixels,14.2 MP,image_resolution,B,image resolution,auto focus mode,image resolution
www.mypriceindia.com,771,other focus features,"5 cm Macro Focus Range, 9 Focus Points",auto_focus_points,A,auto focus points,auto focus points,focus type
www.pricedekho.com,1273,screen size,3 Inches,screen_size,A,screen size,auto focus mode,screen size
buy.net,6370,lcd screen size,3 in,screen_size,A,screen size,auto focus mode,screen size
www.priceme.co.nz,1893,still image format,"JPEG, RAW",image_format,A,image format,auto focus mode,image format
www.wexphotographic.com,569,iso min,80,iso_sensitivity_min,A,iso sensitivity min,auto focus mode,iso sensitivity min
